#z      zlow    zhigh   rho     rholo   rhohi   ref
# Prochaska 2009
2.310   0.110   0.090   0.570   0.098   0.097   1
2.570   0.170   0.130   0.767   0.088   0.084   1
2.860   0.160   0.140   0.766   0.080   0.079   1
3.220   0.220   0.280   1.076   0.094   0.090   1
3.700   0.200   0.300   1.247   0.217   0.216   1
4.390   0.390   1.110   1.212   0.228   0.258   1
# Noterdaeme 2012
2.150   0.150   0.150   1.095   0.055   0.055   1
2.450   0.150   0.150   0.962   0.044   0.044   1
2.750   0.150   0.150   1.150   0.055   0.055   1
3.050   0.150   0.150   1.217   0.088   0.088   1
3.350   0.150   0.150   1.405   0.143   0.143   1
# Peroux 2003
#1.775   0.225   0.225   0.779   0.220   0.258   0
#2.350   0.350   0.350   1.114   0.228   0.259   0
#3.100   0.400   0.400   1.021   0.233   0.269   0
#4.100   0.600   0.750   0.633   0.211   0.229   0
# Sanchez-Ramirez 2016
#2.440   0.890   0.292   1.642   0.660   0.987   0
#2.950   0.218   0.257   0.610   0.296   0.485   0
#3.690   0.483   0.810   1.369   0.325   0.374   0
# Neeleman 2016
0.623   0.613   0.977   0.254   0.121   0.201   0
# Rao 2017
0.464   0.354   0.146   0.852   0.287   0.287   0
0.731   0.121   0.159   0.741   0.177   0.177   0
1.172   0.282   0.478   0.830   0.320   0.320   0
# Shull 2017* assuming no evolution in HI
0.180   0.170   0.300   0.304   0.147   0.242   0
#Crighton 2015
4.005   0.445   0.445   1.440   0.310   0.320   1
4.880   0.430   0.430   1.200   0.210   0.240   1
