#z      zlow    zhigh   rho     rholo   rhohi   ref
# Bera 2019
0.340   0.140   0.060   0.475   0.067   0.067   19
# Chowdhury 2020
1.100   0.350   0.350   0.540   0.100   0.100   19
# Lah 2007
0.240   0.000   0.000   0.856   0.380   0.380   3
# Delhaize 2013
0.028   0.000   0.000   0.500   0.050   0.100   9
0.096   0.000   0.000   0.560   0.080   0.100   9
# Rhee 2013
0.100   0.000   0.000   0.410   0.060   0.060   10
0.200   0.000   0.000   0.420   0.110   0.110   10
# Hoppmann 2015
0.065   0.000   0.000   0.285   0.086   0.086   11
